Tensor_id,ActiveTime,InactiveTime
1500,2,2317
1501,2,2317
1503,3,2316
1504,3,2316
1505,1397,922
1506,4,2315
1508,2,2317
1509,1,2318
1510,1,2318
1511,1398,921
1512,1398,921
1513,1,2318
1514,1,2318
1515,1,2318
1516,1,2318
1519,2,2317
1520,2,2317
1522,3,2316
1523,3,2316
1524,1388,931
1525,4,2315
1527,2,2317
1528,1,2318
1529,1,2318
1530,1389,930
1531,1389,930
1532,1,2318
1533,1,2318
1534,1,2318
1535,1,2318
1538,1384,935
1539,2,2317
1540,1382,937
1542,3,2316
1543,3,2316
1544,3,2316
1545,1376,943
1547,3,2316
1548,3,2316
1549,3,2316
1550,2,2317
1551,2,2317
1552,1371,948
1553,29,2290
1554,2,2317
1556,3,2316
1557,4,2315
1558,1361,958
1559,4,2315
1561,2,2317
1562,1,2318
1563,1,2318
1564,1362,957
1565,1362,957
1566,1,2318
1567,1,2318
1568,1,2318
1569,1,2318
1572,2,2317
1573,2,2317
1575,3,2316
1576,3,2316
1577,1352,967
1578,4,2315
1580,2,2317
1581,1,2318
1582,1,2318
1583,1353,966
1584,1353,966
1585,1,2318
1586,1,2318
1587,1,2318
1588,1,2318
1591,2,2317
1592,2,2317
1594,3,2316
1595,3,2316
1596,1343,976
1597,4,2315
1599,2,2317
1600,1,2318
1601,1,2318
1602,1344,975
1603,1344,975
1604,1,2318
1605,1,2318
1606,1,2318
1607,1,2318
1610,1339,980
1611,2,2317
1612,1337,982
1614,3,2316
1615,3,2316
1616,3,2316
1617,1331,988
1619,3,2316
1620,3,2316
1621,3,2316
1622,2,2317
1623,2,2317
1624,1326,993
1625,29,2290
1626,2,2317
1628,3,2316
1629,4,2315
1630,1316,1003
1631,4,2315
1633,2,2317
1634,1,2318
1635,1,2318
1636,1317,1002
1637,1317,1002
1638,1,2318
1639,1,2318
1640,1,2318
1641,1,2318
1644,2,2317
1645,2,2317
1647,3,2316
1648,3,2316
1649,1307,1012
1650,4,2315
1652,2,2317
1653,1,2318
1654,1,2318
1655,1308,1011
1656,1308,1011
1657,1,2318
1658,1,2318
1659,1,2318
1660,1,2318
1663,2,2317
1664,2,2317
1666,3,2316
1667,3,2316
1668,1298,1021
1669,4,2315
1671,2,2317
1672,1,2318
1673,1,2318
1674,1299,1020
1675,1299,1020
1676,1,2318
1677,1,2318
1678,1,2318
1679,1,2318
1682,1294,1025
1683,2,2317
1684,1292,1027
1686,3,2316
1687,3,2316
1688,3,2316
1689,1286,1033
1691,3,2316
1692,3,2316
1693,3,2316
1694,2,2317
1695,2,2317
1696,1281,1038
1697,29,2290
1698,2,2317
1700,3,2316
1701,4,2315
1702,1271,1048
1703,4,2315
1705,2,2317
1706,1,2318
1707,1,2318
1708,1272,1047
1709,1272,1047
1710,1,2318
1711,1,2318
1712,1,2318
1713,1,2318
1716,2,2317
1717,2,2317
1719,3,2316
1720,3,2316
1721,1262,1057
1722,4,2315
1724,2,2317
1725,1,2318
1726,1,2318
1727,1263,1056
1728,1263,1056
1729,1,2318
1730,1,2318
1731,1,2318
1732,1,2318
1735,2,2317
1736,2,2317
1738,3,2316
1739,3,2316
1740,1253,1066
1741,4,2315
1743,2,2317
1744,1,2318
1745,1,2318
1746,1254,1065
1747,1254,1065
1748,1,2318
1749,1,2318
1750,1,2318
1751,1,2318
1754,1249,1070
1755,2,2317
1756,1247,1072
1758,3,2316
1759,3,2316
1760,3,2316
1761,1241,1078
1763,3,2316
1764,3,2316
1765,3,2316
1766,2,2317
1767,2,2317
1768,1236,1083
1769,29,2290
1770,2,2317
1772,3,2316
1773,4,2315
1774,1226,1093
1775,4,2315
1777,2,2317
1778,1,2318
1779,1,2318
1780,1227,1092
1781,1227,1092
1782,1,2318
1783,1,2318
1784,1,2318
1785,1,2318
1788,2,2317
1789,2,2317
1791,3,2316
1792,3,2316
1793,1217,1102
1794,4,2315
1796,2,2317
1797,1,2318
1798,1,2318
1799,1218,1101
1800,1218,1101
1801,1,2318
1802,1,2318
1803,1,2318
1804,1,2318
1807,2,2317
1808,2,2317
1810,3,2316
1811,3,2316
1812,1208,1111
1813,4,2315
1815,2,2317
1816,1,2318
1817,1,2318
1818,1209,1110
1819,1209,1110
1820,1,2318
1821,1,2318
1822,1,2318
1823,1,2318
1826,1204,1115
1827,2,2317
1828,1202,1117
1830,3,2316
1831,3,2316
1832,3,2316
1833,1196,1123
1835,3,2316
1836,3,2316
1837,3,2316
1838,2,2317
1839,2,2317
1840,1191,1128
1841,29,2290
1842,2,2317
1844,3,2316
1845,4,2315
1846,1181,1138
1847,4,2315
1849,2,2317
1850,1,2318
1851,1,2318
1852,1182,1137
1853,1182,1137
1854,1,2318
1855,1,2318
1856,1,2318
1857,1,2318
1860,2,2317
1861,2,2317
1863,3,2316
1864,3,2316
1865,1172,1147
1866,4,2315
1868,2,2317
1869,1,2318
1870,1,2318
1871,1173,1146
1872,1173,1146
1873,1,2318
1874,1,2318
1875,1,2318
1876,1,2318
1879,2,2317
1880,2,2317
1882,3,2316
1883,3,2316
1884,1163,1156
1885,4,2315
1887,2,2317
1888,1,2318
1889,1,2318
1890,1164,1155
1891,1164,1155
1892,1,2318
1893,1,2318
1894,1,2318
1895,1,2318
1898,1159,1160
1899,2,2317
1900,1157,1162
1902,3,2316
1903,3,2316
